DATE,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE
31/01/1900,6.1,0.2175,0.48,7.897091074,1900.041667,3.15,193.0907357,6.884792624,15.1940251,18.67427536
28/02/1900,6.21,0.225,0.48,7.992232066,1900.125,3.145833333,194.2326624,7.037415303,15.01315265,18.70379742
31/03/1900,6.26,0.2325,0.48,7.992232066,1900.208333,3.141666667,195.7965324,7.271995814,15.01315265,18.77579342
30/04/1900,6.34,0.24,0.48,7.992232066,1900.291667,3.1375,198.2987246,7.506576324,15.01315265,18.93640203
31/05/1900,6.04,0.2475,0.48,7.801941983,1900.375,3.133333333,193.5231707,7.929964361,15.37932482,18.40319702
30/06/1900,5.86,0.255,0.48,7.706792893,1900.458333,3.129166667,190.0739835,8.271137506,15.56920001,17.99271158
31/07/1900,5.86,0.2625,0.48,7.801941983,1900.541667,3.125,187.7559239,8.410568262,15.37932482,17.68954547
31/08/1900,5.94,0.27,0.48,7.706792893,1900.625,3.120833333,192.6688501,8.757675007,15.56920001,18.06961467
30/09/1900,5.8,0.2775,0.48,7.801941983,1900.708333,3.116666667,185.8335083,8.891172163,15.37932482,17.34187415
31/10/1900,6.01,0.285,0.48,7.706792893,1900.791667,3.1125,194.9393585,9.244212507,15.56920001,18.10239878
30/11/1900,6.48,0.2925,0.48,7.706792893,1900.875,3.108333333,210.1842002,9.487481257,15.56920001,19.4195846
31/12/1900,6.87,0.3,0.48,7.611651901,1900.958333,3.104166667,225.619466,9.852378429,15.76380549,20.74405116
31/01/1901,7.07,0.3017,0.4817,7.706792893,1901.041667,3.1,229.3213418,9.785890924,15.62434093,20.97858183
28/02/1901,7.25,0.3033,0.4833,7.611651901,1901.125,3.106666667,238.0991454,9.960754592,15.87218165,21.67914985
31/03/1901,7.51,0.305,0.485,7.611651901,1901.208333,3.113333333,246.6378733,10.01658474,15.92801179,22.34758395
30/04/1901,8.14,0.3067,0.4867,7.51650281,1901.291667,3.12,270.7118891,10.19991847,16.18617646,24.40971699
31/05/1901,7.73,0.3083,0.4883,7.51650281,1901.375,3.126666667,257.0765237,10.25312966,16.23938765,23.06401268
30/06/1901,8.5,0.31,0.49,7.51650281,1901.458333,3.133333333,282.6844051,10.30966654,16.29592453,25.23846621
31/07/1901,7.93,0.3117,0.4917,7.611651901,1901.541667,3.14,260.4312031,10.23662119,16.14804825,23.14484855
31/08/1901,8.04,0.3133,0.4933,7.706792893,1901.625,3.146666667,260.7841002,10.16214659,16.0005966,23.07717771
30/09/1901,8,0.315,0.495,7.801941983,1901.708333,3.153333333,256.3220804,10.09268191,15.85992872,22.59046832
31/10/1901,7.91,0.3167,0.4967,7.801941983,1901.791667,3.16,253.438457,10.14715036,15.91439716,22.25290162
30/11/1901,8.08,0.3183,0.4983,7.897091074,1901.875,3.166666667,255.7660892,10.07553789,15.77329731,22.37507478
31/12/1901,7.95,0.32,0.5,7.992232066,1901.958333,3.173333333,248.6553407,10.00876843,15.63870067,21.68021514
