Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2022-2023),2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Treatment Plants,A1,Report,Number of water treatment plants providing full treatment,plants,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Other Water Assets,A2,Report,Length of water mains,km,,660,651,644,634,619,614,609,604,599,594,583,571,569,562,536,530,563,533,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Other Water Assets,A3,Derived,Number of properties served per km of water main,properties/km,,40.9,39.8,40,40,41,40,43.1,42,43,40,40,40,40,40,41.4,41,40,42,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater assets,A4,Report,Number of wastewater treatment plants,plants,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater assets,A5,Report,Length of sewer mains and channels,Km,,607,601,596,580,571,563,554,564,548,519,511,499,496,497,495,484,464,461,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater assets,A6,Derived,Number of properties served per km of sewer main,properties/km,,37.9,38.3,38,40,42,45,44.6,43.1,44,42,42,43,43,42,41.7,42,45,47,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Main Breaks,A8,Derived,"Number of water main breaks, bursts, and leaks, per 100 km of water mains",mains breaks/100 km,,2.3,2.8,4.3,3.5,4.5,3.9,3.3,4.1,4.7,10.3,7.7,6,7.4,6.8,11.8,8,15,14,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Losses,A9,Report,Infrastructure leakage index (ILI),ratio,,0.3,0.2,0.3,0.3,0.6,0.9,1,1,1,1,1,1.3,1.1,1.4,1.4,1.8,2.6,2.2,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Losses,A10,Report,Real losses: service connections,L/service connection/day,,20,17,23,19,44,63,46.2,60,55,57,56,50,44,51,54.6,68.3,99,85.1,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Losses,A11,Report,Real losses: water mains,kL/km water main/day,,0.8,0.7,0.9,0.7,1.7,2.4,1.8,,2,2.1,2.1,1.9,1.6,2,2.11,2.6,3.7,3,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater breaks and chokes,A14,Report,Number of sewer mains breaks and chokes per 100 km,breaks and chokes/100km,,75,83,81,52,44,9,78,76,65,75,67,,,185,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater breaks and chokes,A15,Report,"Number of property connection sewer breaks and chokes per 1,000 properties","breaks and chokes/1,000 properties",,3.4,2.1,2.3,2.7,4.1,4.5,10.7,12.5,13.4,10.3,11.6,,,43.9,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Main Breaks,IA8,Report,"Number of water main breaks, bursts, and leaks",mains breaks,,15,18,28,22,28,24,20,25,28,61,45,34,42,38,63,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C1,Report,Population receiving services: water supply,population 000s,,56,55,54.7,54,53.4,52.9,52.8,51.6,50.9,49.7,49.4,53.2,52,50.5,49.78,48,48,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C2,Report,Number of connected residential properties: water supply,population 000s,,25,24,24.1,23.7,23.4,23.1,24.4,23.507,23.6,21.6,21.2,20.9,20.7,20.5,20.18,20,21,21,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C3,Report,Number of connected non-residential properties: water supply,population 000s,,2,1.928,1.9,1.9,1.9,1.7,1.873,1.857,2.1,2,2,2,2.1,2,2.03,2,2,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C4,Derived,Total number of connected properties: water supply,population 000s,,27,25.928,26,25.5,25.3,24.9,26.273,25.364,25.7,23.6,23.3,22.9,22.8,22.6,22.21,22,23,23,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C6,Report,Number of connected residential properties: wastewater,population 000s,,21,21,20.8,21.1,22.1,23.4,22.871,22.529,22.2,20.2,19.9,19.5,19.4,19.2,18.86,19,19,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C7,Report,Number of connected non-residential properties: wastewater,population 000s,,2,2,1.9,1.9,1.8,1.9,1.832,1.796,1.8,1.8,1.8,1.8,1.8,1.8,1.76,2,2,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C8,Derived,Total number of connected properties: wastewater,population 000s,,23,23,23,23,24,25,24.703,24.325,24,21.9,21.6,21.3,21.2,21,20.62,20,21,22,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water quality complaints,C9,Derived,"Number of water quality complaints per 1,000 properties: water supply","complaints/1,000 properties",,5.9,0,0.3,1,0.2,0.5,7,2.2,2.6,3.2,4.2,1,1.2,1.1,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water service complaints,C10,Derived,"Number of water service complaints per 1,000 properties","complaints/1,000 properties",,1.9,0.2,0.3,0.4,0.2,0,2.5,2.6,1.4,0.9,1.8,5,3.9,3.5,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Wastewater service complaints,C11,Derived,"Number of sewerage service complaints per 1,000 properties","complaints/1,000 properties",,3.5,0.3,0.2,0.9,0.8,1.2,1.5,1.3,2.2,0.5,0.5,33.2,37.2,43.7,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Billing and account complaints,C12,Derived,"Number of billing and account complaints per 1,000 properties: water supply and sewerage","complaints/1,000 properties",,0.1,0.2,0,0.1,0.1,0.2,0.3,1,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Total water and wastewater complaints,C13,Derived,"Number of water and sewerage complaints per 1,000 properties","complaints/1,000 properties",,10.89,1,1,2,1.2,2,11.15,7.02,6,5,6,,42.98,,54.66,51,48.6,41.9,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connect time to a telephone operator,C14,Report,Percentage of calls answered by an operator within 30 seconds,%,,85,78,72,60,60,50,47,63,,,,59,48,49,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Average duration of unplanned water supply interruptions,C15,Report,Average duration of an unplanned interruption: water supply,minutes,,148,213,87,95,254,266,119,137,137,124,104,,,200,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water interruption frequency,C17,Derived,"Number of unplanned interruptions per 1,000 properties","interruptions/ 1,000 properties",,9.9,14.6,35,22,1,4,0,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Restrictions or legal action for non-payment of water bill,C18,Derived,"Number of restrictions for non-payment of water bills per 1,000 properties","restrictions/1,000 properties",,1,0,0,1,2,3,1,2,1,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Restrictions or legal action for non-payment of water bill,C19,Derived,Number of legal actions taken for non-payment of water bills per 1000 properties,"legal actions/1,000 properties",,1,0,0,3,3,8,33,24,23,27,4,21,15,13,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water service complaints,IC10,Report,Number of water service complaints.,complaints,,52,5,7,10,4,1,66,65,35,21,42,115,89,79,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Wastewater service complaints,IC11,Report,Number of sewerage service complaints,complaints,,81,6,4,20,19,30,36,32,52,11,10,707,785,918,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Billing and account complaints,IC12,Report,Number of billing and account complaints: water supply and sewerage,complaints,,3,4,1,2,2,4,7,25,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Total water and wastewater complaints,IC13,Report,Number of water and sewerage complaints,complaints,,294,15,19,58,31,48,293,178,153,108,149,,980,,1213.8,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water interruption frequency,IC17,Report,Number of unplanned interruptions: water supply,interruptions,,268,378,913,572,410,29,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Restrictions or legal action for non-payment of water bill,IC18,Report,Number of restrictions for non-payment of water bills,restrictions,,19,0,0,24,45,74,16,43,23,1,0,0,0,0,0,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Restrictions or legal action for non-payment of water bill,IC19,Report,Number of legal actions taken for non-payment of water bills,legal actions,,24,0,0,72,81,192,873,604,600,636,94,471,342,294,0,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Water quality complaints,IC9,Report,Number of water quality complaints: water supply,complaints,,158,0,7,26,6,13,184,56,66,76,97,22,27,25,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,E1,Derived,Percentage of wastewater only treated to a primary level,%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,E2,Derived,Percentage of wastewater only treated to a secondary level,%,,0.2,0,0.2,0,0.3,0.6,0.4,0.3,0.2,0.2,0.1,0.2,0.3,0.4,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,E3,Derived,Percentage of wastewater treated to a tertiary level,%,,75.5,75.8,85.9,100,99.7,99.5,99.6,99.7,99.8,99.7,99.9,99.8,99.7,99.6,99.7,100,100,100,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Biosolids reuse,E8,Report,Percentage of biosolids reused,%,,0,0,0,Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,E9,Derived,"Net greenhouse gas emissions per 1,000 properties: water supply","t CO2 equivalents/1,000 properties",,124,116.1,149,208,229,229,224.6,272.9,236,262,307,284,260,308,310.1,282,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,E10,Derived,"Net greenhouse gas emissions per 1,000 properties: wastewater","t CO2 equivalents/1,000 properties",,267.09,234.22,120,163,154,311,220.26,203.74,168,203,253,263,234,233,237.51,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,E11,Derived,"Net greenhouse gas emissions per 1,000 properties: other","t CO2 equivalents/1,000 properties",,19.89,15.39,16,12,8,8.91,4.95,8.63,0.5,0,0,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,E12,Derived,"Total net greenhouse gas emissions per 1,000 properties","t CO2 equivalents/1,000 properties",,374,339.3,271,367,383,418,436.6,477,393,451,541,528,494,540,547.6,282,401,975,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,IE1,Report,Volume of wastewater only treated to a primary level,ML,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,IE10,Report,Net greenhouse gas emissions: wastewater,t CO2 equivalents,,6143,5387,2725,3761,3685,4659,5441,4956,4030,4456,5464,5602,4937,4893,4897.1,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,IE11,Report,Net greenhouse gas emissions: other,t CO2 equivalents,,537,399,425,295,210,221,130,219,14,0,0,,,,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,IE12,Derived,Total net greenhouse gas emissions,ML,,9983,8797,7026,9378,9676,10581,11471,12098,10105,10642,12597,12091,11263,12204,12159,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,IE2,Report,Volume of wastewater only treated to a secondary level,ML,,15,11,9,11,12,26,20,12,11,7,4,13,15,17,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Comparative wastewater treatment levels,IE3,Report,Volume of wastewater treated to a tertiary level,ML,,6005,4770,4772,4175,4287,4653,4934,4585,4433,4463,4621,5343,5087,4202,3777.1,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Environment,Net greenhouse gas emissions,IE9,Report,Net greenhouse gas emissions: water supply,t CO2 equivalents,,3303,3011,3876,5322,5781,5701,5900,6923,6061,6186,7133,6492,5928,6961,6885,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,,18764,16812.789,20172.672,23258.998,25514.09,23173.017,22436.918,22684.326,20653.515,20477.113,18487.578,13194.662,11222.497,12690.458,11149.677,11393.39,13479.166,14317.384,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,,24994,25062.39,27001.601,27502.984,28957.18,27866.36,28735.523,28749.654,25650.254,25600.769,22584.936,19111.958,18902.675,20620.781,17174.843,16999.406,15695.457,16530.835,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,,43075,41009.335,46980.885,49772.552,53140.54,50800.674,50697.75,49870.338,44039.679,46087.889,41057.097,31978.101,30133.237,33311.238,28324.521,28392.796,29174.623,30233.372,,,
