"symbol","sector","date_stamp","close","adjusted_close","volume","sp500"
AAL,"1",2020-01-02,29.09,28.988,6275633.0,3257.85009765625
AAL,"1",2020-01-03,27.65,27.5531,14020066.0,3234.85009765625
AAL,"1",2020-01-06,27.32,27.2242,6108646.0,3246.280029296875
AAL,"1",2020-01-07,27.22,27.1246,6197079.0,3237.179931640625
AAL,"1",2020-01-08,27.84,27.7424,10497296.0,3253.050048828125
AAL,"1",2020-01-09,27.95,27.852,6901065.0,3274.699951171875
AAL,"1",2020-01-10,27.32,27.2242,8108419.0,3265.35009765625
AAL,"1",2020-01-13,27.39,27.294,5841463.0,3288.1298828125
AAL,"1",2020-01-14,27.53,27.4335,8890948.0,3283.14990234375
AAL,"1",2020-01-15,27.58,27.4833,5689926.0,3289.2900390625
AAL,"1",2020-01-16,28.23,28.1311,6442847.0,3316.81005859375
AAL,"1",2020-01-17,28.4,28.3005,7379424.0,3329.6201171875
AAL,"1",2020-01-21,27.2,27.1047,16249991.0,3320.7900390625
AAL,"1",2020-01-22,27.32,27.2242,9852593.0,3321.75
AAL,"1",2020-01-23,28.8,28.6991,25611121.0,3325.5400390625
AAL,"1",2020-01-24,27.64,27.5431,18067793.0,3295.469970703125
AAL,"1",2020-01-27,26.11,26.0185,21573812.0,3243.6298828125
AAL,"1",2020-01-28,26.9,26.8057,11939167.0,3276.239990234375
AAL,"1",2020-01-29,26.8,26.7061,9094411.0,3273.39990234375
AAL,"1",2020-01-30,27.72,27.6228,10685468.0,3283.659912109375
AAL,"1",2020-01-31,26.84,26.7459,11027935.0,3225.52001953125
AAL,"1",2020-02-03,27.16,27.0648,7631879.0,3248.919921875
AAL,"1",2020-02-04,28.43,28.43,10832933.0,3297.590087890625
AAL,"1",2020-02-05,29.1,29.1,8959684.0,3334.68994140625
AAL,"1",2020-02-06,28.3,28.3,8335783.0,3345.780029296875
AAL,"1",2020-02-07,28.38,28.38,6231754.0,3327.7099609375
AAL,"1",2020-02-10,28.79,28.79,15134344.0,3352.090087890625
AAL,"1",2020-02-11,29.84,29.84,8977738.0,3357.75
AAL,"1",2020-02-12,30.47,30.47,9315375.0,3379.449951171875
AAL,"1",2020-02-13,30.09,30.09,9119433.0,3373.93994140625
AAL,"1",2020-02-14,29.2,29.2,5524788.0,3380.159912109375
AAL,"1",2020-02-18,28.63,28.63,10486462.0,3370.2900390625
AAL,"1",2020-02-19,28.33,28.33,8401025.0,3386.14990234375
AAL,"1",2020-02-20,28.51,28.51,10093423.0,3373.22998046875
AAL,"1",2020-02-21,27.82,27.82,11256491.0,3337.75
AAL,"1",2020-02-24,25.45,25.45,21713199.0,3225.889892578125
AAL,"1",2020-02-25,23.12,23.12,22296879.0,3128.2099609375
AAL,"1",2020-02-26,22.31,22.31,19631372.0,3116.389892578125
AAL,"1",2020-02-27,20.6,20.6,31897334.0,2978.760009765625
AAL,"1",2020-02-28,19.05,19.05,37166398.0,2954.219970703125
AAL,"1",2020-03-02,18.86,18.86,38737996.0,3090.22998046875
AAL,"1",2020-03-03,17.85,17.85,35402453.0,3003.3701171875
AAL,"1",2020-03-04,18.53,18.53,44362085.0,3130.1201171875
AAL,"1",2020-03-05,16.04,16.04,44656806.0,3023.93994140625
AAL,"1",2020-03-06,15.97,15.97,54504970.0,2972.3701171875
AAL,"1",2020-03-09,14.75,14.75,42558021.0,2746.56005859375
AAL,"1",2020-03-10,17.0,17.0,56972742.0,2882.22998046875
AAL,"1",2020-03-11,16.26,16.26,43778178.0,2741.3798828125
AAL,"1",2020-03-12,13.45,13.45,53968488.0,2480.639892578125
AAL,"1",2020-03-13,14.31,14.31,58376115.0,2711.02001953125
